Job Title,Seniority Level,Company,Company Type,Experience Required,Location,Job Description
Frontend Developer,Mid,TCS,Service,2-5 years,Pune,"UI Developer for banking portal. Required: Angular 12+, TypeScript, HTML5, CSS3, and REST API integration. Experience with responsive design, cross-browser testing, and following accessibility guidelines. Must work within client design system and deliver pixel-perfect UI from Figma mockups. Basic knowledge of Java Spring Boot is helpful."
AI Engineer,Mid,Wipro,Service,5-8 years,Chennai,"AI Automation Developer for RPA + AI project. Required: Python, UiPath or Automation Anywhere, OCR (ABBYY or Tesseract), and Azure OpenAI API. Experience building intelligent document processing workflows and integrating AI models into RPA bots. Must document processes, train business users, and support hypercare phase."
DevOps Engineer,Mid,HCL Technologies,Service,2-5 years,Chennai,"DevSecOps Engineer for government client. Required: Jenkins, SonarQube, Docker, Kubernetes, and Nexus. Experience integrating security scanning in CI/CD pipelines, vulnerability assessment, and compliance reporting. Must work with VAPT teams and produce security audit reports. CISSP or CEH certification is a plus."
Software Engineer,Mid,Wipro,Service,2-5 years,Chennai,"Associate Consultant - Application Development. Required: .NET Core or Java Spring Boot, SQL Server, and Azure basics. Experience with cloud migration projects, containerization (Docker), and CI/CD (Azure DevOps). Client-facing skills, requirement analysis, and effort estimation experience preferred."
Data Analyst,Mid,Infosys,Service,0-2 years,Delhi NCR,"Data Analyst for retail analytics client. Required: SQL, Python (pandas), Power BI, and Excel. Experience with sales reporting, inventory analysis, and KPI dashboards. Must handle data from multiple sources, clean and transform it, and present weekly reports to client management. Knowledge of SAP BW or BEx is a plus."
Software Engineer,Mid,HCL Technologies,Service,0-2 years,Pune,"Software Engineer for manufacturing ERP implementation. Required: SAP ABAP or Java, REST integration, and SQL. Experience with SAP S/4HANA modules (SD, MM, FI) or Oracle ERP is preferred. Must write technical specifications, develop custom reports, and support go-live activities."
System Architect,Mid,Accenture,Service,2-5 years,Chennai,"Enterprise Architect for large-scale ERP transformation. Required: TOGAF certification, experience with SAP or Oracle ERP architecture, and cloud migration strategy. Must create architecture roadmaps, manage technical risks, and present to C-level stakeholders. 10+ years of experience in enterprise IT architecture required."
DevOps Engineer,Mid,Infosys,Service,5-8 years,Delhi NCR,"Cloud Infrastructure Engineer. Required: AWS (EC2, S3, RDS, Lambda), Terraform, Ansible, and Linux. Experience with infrastructure automation, patch management, and 24/7 NOC support. Must document runbooks, handle incidents, and collaborate with development teams on deployment processes. AWS Associate certification preferred."
Machine Learning Engineer,Mid,TCS,Service,8+ years,Hyderabad,"Data Science Developer for predictive analytics project. Required: Python, machine learning algorithms, SQL, and Tableau. Experience building churn prediction, demand forecasting, or credit scoring models. Must write technical documentation, present model results to clients, and support model retraining cycles."
Cloud Engineer,Mid,HCL Technologies,Service,5-8 years,Pune,"Azure Cloud Administrator for government project. Required: Azure (VMs, AKS, Azure SQL, Azure AD, Azure Monitor), PowerShell, and Terraform. Experience with Azure governance (Management Groups, Policies, Blueprints), hybrid connectivity, and BCDR. Must follow ITIL change management processes and produce compliance reports."
Cloud Engineer,Mid,Infosys,Service,0-2 years,Pune,"AWS Cloud Engineer for insurance client. Required: AWS (EC2, S3, RDS, Lambda, API Gateway, CloudFormation), Python, and Linux. Experience with cloud cost optimization, security hardening, and migration from on-premise to AWS. Must produce architecture diagrams, infrastructure runbooks, and support audit activities. AWS Associate certification required."
Software Engineer,Mid,Capgemini,Service,2-5 years,Delhi NCR,"Senior Software Engineer for digital transformation project. Required: Python or Java, microservices, Kafka, Docker, Kubernetes, and Azure. Experience leading a small team, reviewing code, and communicating technical decisions to non-technical stakeholders. PMP or Agile certification is a bonus."
Data Analyst,Mid,Wipro,Service,2-5 years,Mumbai,"MIS Analyst for banking operations. Required: Advanced Excel, SQL, and basic Python. Experience automating daily/weekly MIS reports, reconciliation, and data validation. Must work with large datasets, identify discrepancies, and escalate issues to project managers. Knowledge of VBA macros is a plus."
Software Engineer,Mid,TCS,Service,2-5 years,Pune,"Software Developer for telecom client engagement. Required: Python or Java, REST APIs, MySQL, and Linux. Experience in Agile delivery, sprint planning, and documentation. Must be comfortable working in large enterprise codebases, handling change requests, and following ITIL processes. TCS BaNCS or iON product knowledge is an added advantage."
System Architect,Mid,Capgemini,Service,8+ years,Hyderabad,"Solution Architect for digital banking platform. Required: Microservices architecture, API gateway (Apigee or AWS API Gateway), cloud (Azure/AWS), and knowledge of banking domain (core banking, payments). Must write solution design documents, lead technical workshops with clients, and oversee development teams."
AI Engineer,Mid,TCS,Service,2-5 years,Bangalore,"Conversational AI Developer for enterprise chatbot project. Required: Python, Rasa or Microsoft Bot Framework, NLP basics, and Azure Cognitive Services. Experience building intent classification, entity extraction, and dialog management for enterprise chatbots. Must integrate with ticketing systems (ServiceNow) and measure bot performance metrics."
Software Engineer,Mid,Accenture,Service,2-5 years,Pune,"Technology Analyst - Full Stack Developer. Required: React, Node.js or Java, MongoDB or PostgreSQL, and AWS basics. Experience in client delivery projects, Agile methodology, and writing clean, maintainable code. Must be comfortable with rapid prototyping, demos to clients, and shifting priorities."
Data Analyst,Mid,TCS,Service,8+ years,Pune,"Business Intelligence Analyst for FMCG client. Required: SQL Server, SSRS, Power BI, and Excel. Experience building financial dashboards, sales performance reports, and ad hoc queries. Must liaise with onshore business analysts and deliver reports on time. Knowledge of SAP Business Objects is preferred."
Software Engineer,Mid,Cognizant,Service,5-8 years,Bangalore,"Programmer Analyst for insurance domain. Required: Java, Microservices, REST APIs, PostgreSQL, and Kubernetes basics. Experience with ACORD standards or Guidewire platform is a bonus. Must participate in code reviews, unit testing, and support UAT. Flexible to work in shifts for US client support."
Software Engineer,Mid,Infosys,Service,0-2 years,Mumbai,"Application Developer for banking domain client. Required: Java, Spring MVC, Hibernate, Oracle DB, and Web Services (SOAP/REST). Experience with SDLC, SIT/UAT testing, and working in onshore-offshore model. Good communication skills for client interaction. Knowledge of JIRA and Confluence for project management. TOGAF awareness is a plus."
Machine Learning Engineer,Mid,Infosys,Service,2-5 years,Hyderabad,"AI/ML Engineer for banking automation project. Required: Python, scikit-learn, TensorFlow, and REST API development. Experience building document classification and OCR-based extraction solutions. Must deploy models on Azure ML or AWS SageMaker and maintain model performance over time. Good communication for client walkthroughs."
UI/UX Designer,Mid,Wipro,Service,0-2 years,Chennai,"UX Designer for enterprise application redesign. Required: Figma, wireframing, user research, and stakeholder presentation skills. Experience designing enterprise B2B applications, following client brand guidelines, and conducting usability testing. Must deliver both low-fidelity wireframes and high-fidelity prototypes within tight deadlines."
Database Engineer,Mid,Infosys,Service,2-5 years,Hyderabad,"SQL Server DBA for manufacturing client. Required: SQL Server 2019, T-SQL, SSRS, SSIS, and AlwaysOn Availability Groups. Experience with database migration, performance optimization, and disaster recovery planning. Must produce change management documentation and follow ITIL procedures."
DevOps Engineer,Mid,Wipro,Service,2-5 years,Bangalore,"DevOps Engineer for cloud migration engagement. Required: Jenkins, Docker, Kubernetes, Terraform, and Azure or AWS. Experience migrating on-premise applications to cloud, setting up CI/CD pipelines, and monitoring with ELK stack. ITIL process knowledge and client communication skills required."
Frontend Developer,Mid,Cognizant,Service,0-2 years,Delhi NCR,"React Developer for healthcare client portal. Required: React, JavaScript, CSS Modules, REST APIs, and Git. Experience integrating with healthcare APIs (HL7 FHIR) is a bonus. Must follow HIPAA compliance guidelines for frontend data handling, conduct code reviews, and support QA teams during testing phases."
Database Engineer,Mid,TCS,Service,5-8 years,Pune,"Oracle DBA for financial services client. Required: Oracle 19c, PL/SQL, performance tuning, RMAN backup/recovery, and Data Guard. Experience with Oracle RAC, Exadata, and Golden Gate replication. Must manage 24/7 production databases, handle critical incidents, and produce capacity planning reports. OCP certification required."
