Job Title,Company,Company Type,Job Description
Cloud Engineer,Tech Mahindra,Service,"Support cloud migration and managed services for enterprise clients. Required: Azure or AWS certifications, Terraform, and PowerShell or Bash scripting. Experience with lift-and-shift migrations, disaster recovery, and 24/7 support SLAs."
Frontend Developer,Uber,Product,"Develop and maintain cross-platform web and mobile interfaces. Skills: React, React Native, TypeScript, and state management (Redux/Zustand). Experience with animations (Framer Motion), accessibility (WCAG 2.1), and automated UI testing (Cypress, Playwright). Ability to collaborate closely with designers."
AI Engineer,Accenture,Service,"Build AI-powered document processing systems for banking clients. Required: Python, OCR tools (Tesseract, AWS Textract), and NLP skills. Experience with LLM-based information extraction and deploying solutions on Azure. Client communication and documentation skills essential."
AI Engineer,Google,Product,"Develop and fine-tune large language models for core AI features. Required: Python, PyTorch, Hugging Face, and experience with RLHF or instruction tuning. Familiarity with distributed training (DeepSpeed, FSDP), inference optimization, and GPU resource management. Strong ML fundamentals essential."
AI Engineer,Cognizant,Service,"Implement AI chatbot and automation solutions for enterprise clients using Azure OpenAI and LangChain. Must have Python skills, REST API development experience, and knowledge of prompt engineering. Ability to gather requirements, manage client expectations, and deliver PoCs quickly."
Data Scientist,JP Morgan,Product,"Build predictive models for fraud detection and risk scoring. Skills: Python, XGBoost, LightGBM, and deep learning. Experience with imbalanced datasets, model calibration, and regulatory explainability (SHAP, LIME). Familiarity with real-time scoring pipelines and feature engineering at scale."
DevOps Engineer,Amazon,Product,"Build and maintain developer platforms and CI/CD pipelines. Skills: GitHub Actions or Jenkins, Docker, Helm, and ArgoCD. Experience with GitOps, infrastructure as code, and developer experience improvements. Familiarity with secrets management (Vault) and security scanning in pipelines."
DevOps Engineer,LTIMindtree,Service,"Support DevOps transformation projects for enterprise clients. Skills: Jenkins, Docker, Kubernetes, and Azure DevOps. Experience migrating on-premise workloads to cloud and setting up monitoring with ELK stack or Datadog. Client-facing communication and documentation skills required."
Backend Developer,IBM,Service,"Develop and maintain backend services for enterprise web and mobile applications. Required: Java Spring Boot or Node.js, REST APIs, MySQL or PostgreSQL, and Git. Experience with Agile delivery, code documentation, and working in multi-team environments."
Backend Developer,Capgemini,Service,"Build integration middleware for ERP and CRM systems. Skills: Python or Java, REST and SOAP APIs, and message queues (ActiveMQ or RabbitMQ). Experience with data transformation, error handling, and working with legacy enterprise systems."
Frontend Developer,Uber,Product,"Build performant, accessible consumer web experiences used by hundreds of millions of users. Required: React, TypeScript, GraphQL, and deep CSS expertise. Experience with performance optimization (Core Web Vitals), component libraries, and design systems. Familiarity with Next.js, Webpack, and browser rendering internals preferred."
Machine Learning Engineer,TCS,Service,"Deliver NLP automation projects for BPO and insurance clients. Required: Python, spaCy or NLTK, and REST API development. Experience with text classification, named entity recognition, and deploying models on Azure ML or AWS SageMaker."
