Job Title,Seniority Level,Company,Company Type,Experience Required,Location,Job Description
DevOps Engineer,Mid,Coinbase,Product,0-2 years,Chennai,"Site Reliability Engineer for e-commerce platform. Required: Kubernetes, Terraform, AWS, Prometheus, Grafana, PagerDuty, and Python. Must define and enforce SLOs, conduct blameless post-mortems, automate toil, and improve system observability. Experience with chaos engineering (Chaos Monkey, Litmus) and capacity planning."
Data Engineer,Mid,SAP,Product,5-8 years,Pune,"Data Engineer for analytics infrastructure. Required: Python, dbt, Airflow, SQL, and Snowflake or Redshift. Must design dimensional data models, build ELT pipelines, manage data catalog (Atlan or DataHub), and ensure data quality across the platform. Experience with data governance and stakeholder management."
Cloud Engineer,Mid,DoorDash,Product,0-2 years,Pune,"GCP Data and ML Platform Engineer. Required: Google Cloud Platform (BigQuery, Dataflow, Vertex AI, GKE, Cloud Run), Terraform, and Python. Experience building data and ML pipelines on GCP, managing IAM, and optimizing costs. GCP Professional Data Engineer or ML Engineer certification preferred."
Systems Engineer,Mid,IBM,Service,5-8 years,San Francisco,"Rust Systems Engineer for low-latency trading infrastructure. Required: Rust, async programming (Tokio), and experience with systems programming, memory management, and performance optimization. Must build high-throughput, low-latency financial data processing systems. Familiarity with FIX protocol or market data feeds is a plus."
Software Engineer,Mid,JP Morgan,Product,0-2 years,Bangalore,"Kotlin Backend Developer for Android and server-side applications. Required: Kotlin, Ktor or Spring Boot, coroutines, and PostgreSQL. Experience with gRPC, Protocol Buffers, and building SDK libraries. Familiarity with Kotlin Multiplatform is a bonus. Must write idiomatic Kotlin and apply functional programming patterns."
Mobile Developer,Mid,LTIMindtree,Service,8+ years,Pune,"Android Engineer. Required: Kotlin, Jetpack Compose, Android SDK, and experience with MVVM and Clean Architecture. Must integrate REST APIs using Retrofit, manage local storage with Room, and implement WorkManager for background tasks. Experience with in-app purchases, push notifications (FCM), and Google Play deployment."
Backend Developer,Mid,Shopify,Product,0-2 years,Chennai,"Node.js Backend Engineer for real-time applications. Required: Node.js, TypeScript, Express or Fastify, PostgreSQL, Redis, and Socket.IO. Experience with event-driven architecture, building APIs at scale, and managing async concurrency. Must implement comprehensive logging, error handling, and API versioning strategies."
QA Engineer,Mid,Mastech Digital,Service,5-8 years,Chennai,"Mobile QA Engineer. Required: Appium or XCUITest/Espresso, Python or Java, and experience testing iOS and Android applications. Must design end-to-end test suites, integrate with CI pipelines, and conduct exploratory testing. Experience with device farms (BrowserStack, AWS Device Farm) and crash reporting tools (Crashlytics)."
Data Engineer,Mid,Nvidia,Product,5-8 years,Remote,"Streaming Data Engineer. Required: Apache Kafka, Flink or Spark Streaming, Python, and cloud-native messaging services. Experience with exactly-once semantics, stateful stream processing, and building real-time dashboards. Familiarity with CDC tools (Debezium) and schema registries (Confluent Schema Registry) required."
Software Engineer,Mid,Mindtree,Service,8+ years,Chennai,"Go Engineer for high-performance infrastructure services. Required: Go, gRPC, Protobuf, PostgreSQL, and Redis. Experience building concurrent, high-throughput services, writing benchmarks, and profiling Go applications. Familiarity with etcd, Consul, or Kubernetes operators is a plus. Must write clean, idiomatic Go code with comprehensive testing."
